"Day","Sales","Trading Profit","Operating Expense","Net Profit"
85,100675762,29926159,6695685,23230474
86,102227335,30311315,6796063,23515252
87,102501333,30477603,6878741,23598862
88,102683224,30563639,6967419,23596220
89,105011736,30689914,7114431,23575483
90,105422900,30964206,7207562,23756644
